Year	Country	Latitude	Longitude	Focal Depth (km)	Mag	Total Deaths	Total Missing	Total Injuries	Total Houses Destroyed	Total Houses Damaged
1935	USA	46.6	-112	0	6.2	2	0	0	300	0
1935	CHINA	29.4	102.3	0	6	2	0	0	0	0
1935	USA	46.6	-112	0	6	2	0	0	0	0
1935	CHINA	28.7	103.6	0	6	100	0	0	0	0
1935	TAIWAN	24.6	120.8	30	6.5	2746	0	6004	30000	0
1935	TAIWAN	24.3	120.8	0	6	3276	0	12053	17907	0
1935	PAKISTAN	29.5	66.8	33	7.5	60000	0	0	0	0
1935	IRAN	36.3	53.5	14	6.3	0	0	0	0	0
1935	TURKEY	39.3	40.6	0	6.1	0	0	0	0	0
1935	PAPUA NEW GUINEA	-3.824	141.416	30	7.8	0	0	0	0	0
1935	GREECE	35.8	25	0	6.7	0	0	0	0	0
1935	VIETNAM	21.185	103.77	15	6.8	0	0	0	0	0
1935	RUSSIA	43	146.5	55	7.6	0	0	0	0	0
1935	INDONESIA	5.5	94	0	6.5	0	0	0	0	0
1935	IRAN	36.3	53.3	0	6	0	0	0	0	0
1935	INDONESIA	0	98.25	33	7.9	0	0	0	0	0
1935	JAPAN	35	138	10	6.3	0	0	0	0	0
1935	SOLOMON ISLANDS	-9.8	161	60	7.6	0	0	0	0	0
1935	TAIWAN	24.2	120.5	0	5.8	0	0	2	15	0
1935	TAIWAN	24.8	120.8	0	6	0	0	37	28	0
1935	TURKEY	40.5	27.5	7	6.2	0	0	0	0	0
1936	CHILE	-24.5	-70	60	7.3	1	0	40	0	0
1936	INDONESIA	6.1	94.7	0	7.3	9	0	20	0	0
1936	CHINA	26.6	103	0	5.5	30	0	0	0	0
1936	CHINA	34.2	105.7	0	6	115	0	31	4459	0
1936	COLOMBIA	1.1	-77.6	0	7	0	0	0	0	0
1936	CHINA	22.5	109.4	0	6.8	0	0	0	0	0
1936	CHINA	35.4	103.4	0	6.8	0	0	0	9650	0
1936	IRAN	33	60	0	6.2	0	0	0	0	0
1936	RUSSIA	55.2	164	0	7.3	0	0	0	0	0
1936	INDONESIA	4.5	126.5	60	7.7	0	0	3	169	0
1936	RUSSIA	55	165	20	7.2	0	0	0	0	0
1936	SOUTH KOREA	35.2	127.6	0	5	0	0	0	0	0
1936	CHINA	28.6	103.6	0	6.8	0	0	0	0	0
1936	TAIWAN	22.3	120.8	0	7.2	0	0	10	15	0
1936	CHINA	39.5	74.2	0	5.5	0	0	0	0	0
1937	PHILIPPINES	14.5	121.5	60	7.5	1	0	200	0	0
1937	INDONESIA	-9.4	110.2	70	7.2	1	0	0	326	2200
1937	CHINA	35.4	115.1	0	7	390	0	0	0	0
1937	ALGERIA	36.4	7.5	0	5.2	0	0	0	0	0
1937	CHINA	37.8	112.5	0	5	0	0	0	0	0
1937	PERU	-10.5	-76.5	10	6.2	0	0	0	0	0
1937	TAIWAN	22.9	121.2	0	7	0	0	1	5	0
1937	RUSSIA	44.5	149.4	45	7.6	0	0	0	0	0
1937	FIJI	-21.5	-177	400	8.1	0	0	0	0	0
1937	MEXICO	16.7	-98.5	60	7.5	0	0	0	0	0
1937	CHINA	35.5	97.6	60	7.5	0	0	0	0	0
1937	AFGHANISTAN	36.5	70.5	240	7.2	0	0	0	0	0
1937	MEXICO	18.8	-97.5	0	7.7	0	0	0	0	0
1938	JAPAN	43.6	144.3	0	6.1	1	0	0	7	0
1938	JAPAN	37.1	141.7	30	7.7	1	0	0	20	0
1938	INDONESIA	-1	120	0	7.6	17	0	0	942	184
1938	ECUADOR	-0.3	-78.4	10	6.3	0	0	0	0	0
1938	CANADA	52.2	-131.9	16	6.3	0	0	0	0	0
1938	PAPUA NEW GUINEA	-6	147.8	0	7.5	0	0	0	0	0
1938	JAPAN	37.5	142.2	0	7.5	0	0	0	0	0
1938	TURKEY	39.4	33.8	33	6.7	0	0	0	0	0
1938	JAPAN	37	141.5	60	6	0	0	0	0	0
1938	INDONESIA	-5.25	130.5	25	8.5	0	0	0	24	8
1938	CHINA	21.7	99.5	0	6	0	0	0	0	0
1938	JAPAN	37.2	141.7	30	7.6	0	0	0	0	0
1938	TAIWAN	22.9	121.5	0	7	0	0	0	13	0
1938	USA	55.48	-158.37	25	8.2	0	0	0	0	0
1938	JAPAN	25.208	125.115	35	7.6	0	0	0	0	0
1938	JAPAN	37	141.7	0	7.1	0	0	0	0	0
1939	JAPAN	32.3	132	20	6.6	1	0	0	1	0
1939	CHINA	24.4	102.5	0	5.5	2	0	0	0	0
1939	PAPUA NEW GUINEA	-7.08	155.386	35	7.7	5	0	0	0	0
1939	SOLOMON ISLANDS	-9.295	159.234	35	7.9	12	0	0	0	0
1939	GHANA	5.18	-0.13	13	6.4	22	0	130	1500	0
1939	JAPAN	40.1	139.5	0	7	27	0	52	479	0
1939	CHILE	-36.25	-72.25	60	8.3	30000	0	0	0	0
1939	TURKEY	39.77	39.533	35	7.7	32700	0	0	0	0
1939	INDONESIA	0	123	150	8	0	0	0	0	0
1939	PHILIPPINES	13.5	121.25	110	6.5	0	0	0	0	0
1939	AFGHANISTAN	36.3	70.6	220	6.9	0	0	0	0	0
1939	AZORES (PORTUGAL)	37.053	-24.427	16	6.5	0	0	0	0	0
1939	CUBA	22.2	-79.1	0	5.6	0	0	0	0	0
1939	TURKEY	39.7	40.4	80	5.9	0	0	0	0	0
1939	CHILE	-27	-70.5	100	7.4	0	0	0	0	0
1939	TURKEY	39.1	26.8	0	6.5	0	0	0	0	0
1939	TURKEY	36.3	30.7	0	5.3	0	0	0	0	0
1940	CHINA	24.4	102.5	0	5.5	2	0	20	0	0
1940	USA	32.733	-115.5	16	7.2	9	0	0	0	0
1940	JAPAN	44.2	139.5	10	7.5	10	0	0	20	0
1940	PERU	-10.5	-77	60	8.2	179	0	3500	0	0
1940	CHINA	23.9	102.3	0	6	181	0	475	11556	0
1940	USA	52	178.2	65	7.4	0	0	0	0	0
1940	CHINA	42.7	121.3	0	6	0	0	0	0	0
1940	CHILE	-22	-71	75	7.3	0	0	0	0	0
1940	CHILE	-41.5	-74.5	33	7	0	0	0	0	0
1940	ROMANIA	45.8	26.8	150	7.3	0	0	0	0	0
1940	TURKEY	41.7	43.8	19	6	0	0	0	0	0
1940	CHINA	40.2	122	0	5.8	0	0	0	1190	0
1941	JAPAN	32	132.1	10	7.4	2	0	0	27	0
1941	PAPUA NEW GUINEA	-4.175	152.071	15	7.4	4	0	0	1	0
1941	COSTA RICA	8.7	-83.2	0	7.6	6	0	0	0	0
1941	CHINA	31.7	102.3	0	6	15	0	10	70	0
1941	CHINA	47	127.2	0	6	132	0	203	6321	0
1941	TAIWAN	23.3	120.3	0	7.1	319	0	0	1768	0
1941	YEMEN	16.4	43.5	0	5.9	1200	0	200	700	1000
1941	TURKEY	39.5	43.3	28	6	0	0	0	0	0
1941	INDIA	11.94	92.626	20	8	0	0	0	0	0
1941	ATLANTIC OCEAN	37.417	-18.983	0	8.3	0	0	0	0	0
1941	CHINA	23.6	99.4	0	7	0	0	0	0	0
1941	IRAN	33.5	58.6	0	6.3	0	0	0	0	0
1941	TURKEY	39.7	39.4	70	5.9	0	0	0	0	0
1941	USA	40.5	-125.25	0	6.6	0	0	0	0	0
1941	MEXICO	18.9	-102.9	60	7.9	0	0	0	0	0
1941	CHINA	22.7	99.9	0	7	0	0	0	0	0
1941	COSTA RICA	8.5	-84	0	6.9	0	0	0	0	0
1942	PERU	-15	-76	60	8.2	30	0	25	0	0
1942	ALBANIA	41.7	20.4	33	6	43	0	110	0	0
1942	CHINA	23.1	100.3	0	6.8	90	0	0	0	0
1942	ECUADOR	-0.75	-81.5	30	7.9	200	0	0	0	0
1942	COLOMBIA	4.6	-74.5	130	5.8	0	0	0	0	0
1942	SOUTH AFRICA	-49.5	32	25	7.9	0	0	0	0	0
1942	INDONESIA	0	124	120	7.5	0	0	0	0	0
1942	TURKEY	40.9	36.5	0	7.3	0	0	0	0	0
1942	GUATEMALA	14	-91	50	7.9	0	0	0	0	0
1942	CHINA	43	122	0	6	0	0	0	0	0
1942	TURKEY	39.2	28.2	0	6.1	0	0	0	0	0
1942	PHILIPPINES	13.5	121	25	7.8	0	0	0	0	0
1942	CROATIA	43.4	17.2	15	6	0	0	0	0	0
1943	CHILE	-30.75	-72	35	8.2	11	0	0	0	0
1943	PERU	-14.2	-71.5	0	5	75	0	200	0	0
1943	INDONESIA	-9.5	110	90	8.1	213	0	2096	0	2800
1943	JAPAN	35.3	133.9	10	7.4	1400	0	0	7739	0
1943	TURKEY	41	33.7	33	7.6	4020	0	5000	40000	0
1943	ALGERIA	36.1	4.5	0	5	0	0	0	0	0
